list_number,is_target,test_position,type_general,type_specific,meanx
10,true,2,T,T,0.8689320388349514
10,false,6,Fn,Fn+1,0.05263157894736842
10,true,7,T,T,0.896551724137931
10,true,8,T,T,0.8942307692307693
10,false,9,Fn,Fn,0.6739130434782609
10,true,10,Tn,Tn+1,0.8688524590163934
10,false,12,Fn,Fn,0.5531914893617021
10,false,14,SOn,SOn,0.6666666666666666
10,false,15,Tn,Tn,0.9230769230769231
10,true,16,Tn,Tn+1,0.9607843137254902
10,false,17,Tn,Tn,0.9259259259259259
10,false,18,SOn,SOn,0.6785714285714286
10,false,20,Tn,Tn,0.9661016949152542
10,false,22,Fn,Fn+1,0.046153846153846156
10,false,26,F,F,0.06896551724137931
10,false,28,F,F,0.0392156862745098
10,false,29,F,F,0.06349206349206349
10,true,30,T,T,0.9052631578947369
1,true,1,Tn,Tn+1,0.86
1,false,2,F,F,0.023121387283236993
1,true,7,T,T,0.9414893617021277
1,false,15,Fn,Fn+1,0.075
1,true,16,Tn,Tn+1,1.0
1,false,18,Fn,Fn+1,0.027777777777777776
1,false,30,Fn,Fn+1,0.03636363636363636
2,false,1,Tn,Tn,0.972972972972973
2,true,6,Tn,Tn+1,0.88
2,false,8,Tn,Tn,0.96
2,true,12,Tn,Tn+1,1.0
2,false,13,Fn,Fn,0.8983050847457628
2,true,14,Tn,Tn+1,0.8571428571428571
2,false,17,Fn,Fn,0.8363636363636363
2,false,18,SOn,SOn,0.8775510204081632
2,false,23,F,F,0.06382978723404255
2,false,24,Fn,Fn+1,0.041666666666666664
2,true,27,T,T,0.9
2,false,29,SOn,SOn,0.8545454545454545
3,false,4,SOn,SOn,0.7346938775510204
3,false,8,Fn,Fn,0.8301886792452831
3,false,12,SOn,SOn,0.8548387096774194
3,false,13,Tn,Tn,0.9607843137254902
3,true,15,Tn,Tn+1,0.9111111111111111
3,false,16,SOn,SOn,0.8297872340425532
3,false,17,Fn,Fn+1,0.04838709677419355
3,true,18,Tn,Tn+1,0.8867924528301887
3,true,20,T,T,0.9104477611940298
3,false,21,Tn,Tn,1.0
3,false,22,Fn,Fn,0.8507462686567164
3,false,24,F,F,0.05
3,false,25,F,F,0.11363636363636363
3,false,26,Tn,Tn,1.0
3,false,29,F,F,0.09090909090909091
4,false,2,F,F,0.020833333333333332
4,true,3,Tn,Tn+1,0.8717948717948718
4,false,5,Fn,Fn+1,0.05555555555555555
4,false,8,Fn,Fn,0.8478260869565217
4,false,9,Fn,Fn,0.7936507936507936
4,false,12,SOn,SOn,0.7916666666666666
4,true,15,T,T,0.873015873015873
4,true,16,Tn,Tn+1,0.921875
4,false,21,F,F,0.11904761904761904
4,false,27,Tn,Tn,0.9811320754716981
5,false,1,F,F,0.020833333333333332
5,true,2,T,T,0.8383838383838383
5,false,4,Tn,Tn,0.9629629629629629
5,false,6,Fn,Fn+1,0.05
5,false,10,Fn,Fn,0.7317073170731707
5,true,11,T,T,0.8418604651162791
5,false,18,SOn,SOn,0.78
5,true,19,Tn,Tn+1,0.9019607843137255
5,false,23,Fn,Fn,0.8181818181818182
5,false,24,Tn,Tn,0.9591836734693877
5,true,25,Tn,Tn+1,0.8727272727272727
5,false,26,SOn,SOn,0.8
5,true,29,Tn,Tn+1,0.9215686274509803
5,false,30,SOn,SOn,0.7636363636363637
6,false,2,Fn,Fn+1,0.017241379310344827
6,false,6,Fn,Fn+1,0.025
6,false,7,SOn,SOn,0.775
6,false,11,Fn,Fn,0.717391304347826
6,false,12,Tn,Tn,0.9772727272727273
6,false,14,Fn,Fn,0.76
6,true,20,T,T,0.8628571428571429
6,true,21,T,T,0.893048128342246
6,true,24,Tn,Tn+1,0.9375
6,false,25,F,F,0.041666666666666664
6,false,26,SOn,SOn,0.7843137254901961
6,true,27,T,T,0.8730964467005076
6,false,28,Tn,Tn,0.9666666666666667
6,false,29,Fn,Fn,0.7868852459016393
7,true,4,Tn,Tn+1,0.8727272727272727
7,false,7,F,F,0.0
7,true,9,Tn,Tn+1,0.8867924528301887
7,false,11,F,F,0.057692307692307696
7,false,12,SOn,SOn,0.8301886792452831
7,false,13,Tn,Tn,0.9591836734693877
7,false,14,SOn,SOn,0.6101694915254238
7,false,16,Tn,Tn,0.96
7,false,17,F,F,0.044444444444444446
7,false,18,Fn,Fn+1,0.037037037037037035
7,false,19,SOn,SOn,0.8163265306122449
7,false,21,Fn,Fn,0.7551020408163265
7,false,22,Fn,Fn,0.8571428571428571
7,false,24,Fn,Fn,0.7924528301886793
7,true,30,Tn,Tn+1,0.8928571428571429
8,true,1,T,T,0.75
8,false,3,Fn,Fn+1,0.03389830508474576
8,false,4,Fn,Fn,0.6296296296296297
8,false,6,Fn,Fn+1,0.043478260869565216
8,false,8,Tn,Tn,0.9423076923076923
8,false,10,SOn,SOn,0.6808510638297872
8,false,11,Fn,Fn,0.6190476190476191
8,false,13,Fn,Fn+1,0.02564102564102564
8,true,14,Tn,Tn+1,0.9130434782608695
8,false,16,F,F,0.0
8,false,18,F,F,0.017543859649122806
8,false,19,Tn,Tn,0.9454545454545454
8,false,20,SOn,SOn,0.5957446808510638
8,false,21,Tn,Tn,0.9591836734693877
8,true,22,Tn,Tn+1,0.9508196721311475
8,true,26,Tn,Tn+1,0.9545454545454546
8,false,29,SOn,SOn,0.75
9,false,1,Fn,Fn+1,0.041666666666666664
9,false,2,Fn,Fn+1,0.0
9,false,3,SOn,SOn,0.7209302325581395
9,false,5,F,F,0.03636363636363636
9,false,8,Fn,Fn,0.7777777777777778
9,true,9,Tn,Tn+1,0.7962962962962963
9,true,16,Tn,Tn+1,0.8571428571428571
9,false,17,SOn,SOn,0.5961538461538461
9,false,19,SOn,SOn,0.7796610169491526
9,false,21,Tn,Tn,0.9661016949152542
9,false,25,Fn,Fn+1,0.06818181818181818
9,false,26,Fn,Fn,0.6785714285714286
9,false,30,F,F,0.019230769230769232
10,false,1,Tn,Tn,0.8909090909090909
10,false,4,SOn,SOn,0.6724137931034483
10,false,5,Fn,Fn,0.72
10,true,11,Tn,Tn+1,0.8461538461538461
10,false,13,Fn,Fn+1,0.037037037037037035
10,false,16,F,F,0.016666666666666666
10,false,19,Tn,Tn,0.9591836734693877
10,false,23,F,F,0.0
10,false,24,Tn,Tn,0.9538461538461539
10,true,25,T,T,0.9043062200956937
10,false,29,SOn,SOn,0.7727272727272727
1,false,3,Fn,Fn+1,0.041666666666666664
1,true,4,Tn,Tn+1,0.9090909090909091
1,false,10,F,F,0.024154589371980676
1,true,17,Tn,Tn+1,0.9166666666666666
1,true,18,T,T,0.9405940594059405
1,false,19,Fn,Fn+1,0.0425531914893617
1,false,27,Fn,Fn+1,0.07894736842105263
2,false,2,Fn,Fn,0.7868852459016393
2,false,3,Fn,Fn,0.8688524590163934
2,true,4,T,T,0.8775510204081632
2,false,5,Tn,Tn,1.0
2,false,6,SOn,SOn,0.9375
2,false,7,Fn,Fn+1,0.06
2,false,9,Fn,Fn+1,0.02564102564102564
2,false,12,F,F,0.06382978723404255
2,false,14,F,F,0.03225806451612903
2,false,19,F,F,0.0851063829787234
2,true,29,Tn,Tn+1,0.8620689655172413
3,false,2,Tn,Tn,0.9850746268656716
3,false,3,F,F,0.06666666666666667
3,false,7,Fn,Fn+1,0.1
3,false,9,Fn,Fn,0.7924528301886793
3,true,10,Tn,Tn+1,0.9318181818181818
3,false,11,SOn,SOn,0.8548387096774194
3,false,13,Fn,Fn+1,0.05
3,false,14,Tn,Tn,0.9782608695652174
3,true,22,Tn,Tn+1,0.8205128205128205
3,false,28,F,F,0.017241379310344827
3,false,29,SOn,SOn,0.925
3,true,30,T,T,0.9090909090909091
4,false,2,Fn,Fn,0.6724137931034483
4,true,3,T,T,0.8564593301435407
4,true,4,Tn,Tn+1,0.9
4,true,9,T,T,0.9213483146067416
4,true,11,Tn,Tn+1,0.9016393442622951
4,false,12,F,F,0.05405405405405406
4,false,13,SOn,SOn,0.7962962962962963
4,false,17,Fn,Fn+1,0.02127659574468085
4,false,21,Tn,Tn,0.9574468085106383
4,false,22,Fn,Fn,0.8636363636363636
4,false,24,Fn,Fn+1,0.05357142857142857
4,false,26,Fn,Fn,0.926829268292683
5,false,3,F,F,0.030303030303030304
5,false,5,Tn,Tn,0.9375
5,false,12,F,F,0.08
5,false,14,SOn,SOn,0.6964285714285714
5,true,18,Tn,Tn+1,0.8909090909090909
5,false,19,Fn,Fn,0.6727272727272727
5,false,25,Fn,Fn+1,0.10909090909090909
5,false,26,Fn,Fn+1,0.02857142857142857
5,true,27,Tn,Tn+1,0.9
5,false,29,Tn,Tn,0.9782608695652174
6,true,4,Tn,Tn+1,0.82
6,true,5,T,T,0.8867924528301887
6,false,6,SOn,SOn,0.8070175438596491
6,true,8,Tn,Tn+1,0.9333333333333333
6,false,10,F,F,0.019230769230769232
6,false,13,SOn,SOn,0.7450980392156863
6,false,17,Fn,Fn+1,0.0625
6,false,27,F,F,0.1111111111111111
6,true,29,T,T,0.8767772511848341
7,false,5,Fn,Fn,0.7608695652173914
7,false,8,Tn,Tn,0.9814814814814815
7,false,9,Fn,Fn+1,0.06818181818181818
7,false,10,SOn,SOn,0.7894736842105263
7,false,13,Fn,Fn,0.7674418604651163
7,false,20,Tn,Tn,0.9661016949152542
7,false,22,F,F,0.018518518518518517
7,false,24,SOn,SOn,0.8035714285714286
7,true,29,Tn,Tn+1,0.9534883720930233
8,false,3,Fn,Fn,0.6170212765957447
8,false,10,Tn,Tn,0.9038461538461539
8,false,11,Tn,Tn,0.95
8,false,12,Fn,Fn+1,0.11764705882352941
8,false,16,SOn,SOn,0.7368421052631579
8,false,17,Fn,Fn,0.6136363636363636
